PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREPHUN,G20PREOWRI,Winner,Winner Votes
14,195,299,10,0,1,4,G20PREDBID,382010
08,271,445,16,3,0,3,G20PREDBID,382010
003,224,503,10,2,2,3,G20PREDBID,382010
005,112,275,8,2,0,2,G20PREDBID,382010
010,247,204,8,3,2,2,G20PREDBID,382010
008,439,758,21,6,0,8,G20PREDBID,382010
12,1111,1946,74,12,3,10,G20PREDBID,382010
10,1112,1556,60,14,5,12,G20PREDBID,382010
013,159,228,3,2,0,3,G20PREDBID,382010
017,393,237,11,3,0,6,G20PREDBID,382010
24,1064,1246,78,18,16,14,G20PREDBID,382010
46,244,464,12,4,1,2,G20PREDBID,382010
05,199,380,8,3,1,1,G20PREDBID,382010
38,254,274,11,2,1,7,G20PREDBID,382010
40,441,628,24,4,0,7,G20PREDBID,382010
50,25,25,2,0,0,0,G20PREDBID,382010
20,293,385,16,2,2,4,G20PREDBID,382010
32,1290,1052,57,11,8,16,G20PREDBID,382010
12,454,587,20,5,1,6,G20PREDBID,382010
19,449,540,19,2,0,14,G20PREDBID,382010
41,449,883,52,1,5,10,G20PREDBID,382010
26,1162,1377,68,15,8,17,G20PREDBID,382010
20,746,283,13,3,3,10,G20PREDBID,382010
37,517,352,9,3,1,4,G20PREDBID,382010
31,359,388,14,2,0,10,G20PREDBID,382010
34,714,617,40,16,4,9,G20PREDBID,382010
18,84,108,2,0,0,0,G20PREDBID,382010
15,442,625,23,9,3,8,G20PREDBID,382010
21,1190,1169,93,18,7,12,G20PREDBID,382010
17,163,273,11,0,0,2,G20PREDBID,382010
44,245,575,14,4,2,2,G20PREDBID,382010
36,228,204,8,1,2,6,G20PREDBID,382010
49,211,336,9,2,3,4,G20PREDBID,382010
51,125,183,6,0,0,1,G20PREDBID,382010
24,113,108,5,0,1,3,G20PREDBID,382010
26,146,128,5,0,1,2,G20PREDBID,382010
35,570,601,20,5,4,8,G20PREDBID,382010
47,427,410,28,6,3,6,G20PREDBID,382010
10,405,492,18,2,0,6,G20PREDBID,382010
01,367,531,21,2,2,6,G20PREDBID,382010
016,298,169,4,0,2,3,G20PREDBID,382010
28,152,252,14,5,1,3,G20PREDBID,382010
48,446,426,17,4,6,10,G20PREDBID,382010
31,419,524,17,4,1,4,G20PREDBID,382010
46,195,205,10,2,0,3,G20PREDBID,382010
110,290,441,11,4,2,6,G20PREDBID,382010
07,639,237,10,2,0,6,G20PREDBID,382010
08,322,183,10,6,2,0,G20PREDBID,382010
38,586,359,22,8,5,8,G20PREDBID,382010
47,980,1255,57,3,7,8,G20PREDBID,382010
04,337,216,9,6,2,4,G20PREDBID,382010
03,665,303,20,11,3,8,G20PREDBID,382010
06,371,127,10,3,2,2,G20PREDBID,382010
05,671,195,21,7,2,8,G20PREDBID,382010
25,792,480,26,6,2,6,G20PREDBID,382010
23,576,597,15,4,0,10,G20PREDBID,382010
01,368,170,14,5,2,5,G20PREDBID,382010
02,600,183,13,1,3,3,G20PREDBID,382010
22,318,412,7,5,0,4,G20PREDBID,382010
52,192,232,9,4,3,0,G20PREDBID,382010
21,203,355,21,0,0,4,G20PREDBID,382010
36,155,270,6,3,1,1,G20PREDBID,382010
3803,5254,688,75,35,11,60,G20PREDBID,382010
3607,5199,581,52,24,14,44,G20PREDBID,382010
3606,1648,189,20,10,5,17,G20PREDBID,382010
3609,438,80,6,1,0,6,G20PREDBID,382010
580,352,750,24,4,1,13,G20PREDBID,382010
416,78,50,1,1,0,1,G20PREDBID,382010
412,1261,579,44,8,3,9,G20PREDBID,382010
369,1213,570,45,10,3,21,G20PREDBID,382010
336,1716,1049,75,7,6,22,G20PREDBID,382010
325,3,0,0,0,0,0,G20PREDBID,382010
332,2092,616,78,23,13,35,G20PREDBID,382010
343,2692,1650,119,19,13,37,G20PREDBID,382010
419,1127,613,6,6,2,12,G20PREDBID,382010
424,2669,1925,115,18,4,51,G20PREDBID,382010
347,33,37,0,0,0,0,G20PREDBID,382010
303,435,410,25,2,3,8,G20PREDBID,382010
314,102,189,6,2,0,0,G20PREDBID,382010
351,1907,816,62,13,8,19,G20PREDBID,382010
