PRECINCT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREUMCM,G16PREOOTH,Winner,Winner Votes
6284003456,471,389,58,13,9,11,G16PREDCLI,241248
6284003272,338,320,42,8,11,4,G16PREDCLI,241248
1260303124,448,335,51,16,14,17,G16PREDCLI,241248
6284003273,345,296,39,12,12,6,G16PREDCLI,241248
6284003271,291,242,48,12,6,8,G16PREDCLI,241248
6273703320,592,514,88,19,19,9,G16PREDCLI,241248
6284003305,574,406,29,16,2,10,G16PREDCLI,241248
6284003307,310,148,33,7,2,4,G16PREDCLI,241248
6284003454,489,299,36,11,10,6,G16PREDCLI,241248
6284003270,345,258,60,10,7,7,G16PREDCLI,241248
6263803151,363,268,33,14,9,7,G16PREDCLI,241248
6273703277,325,311,60,7,10,11,G16PREDCLI,241248
6273703264,563,401,47,4,12,10,G16PREDCLI,241248
6273703321,521,513,61,13,11,8,G16PREDCLI,241248
6273703274,470,434,46,12,14,11,G16PREDCLI,241248
6273703275,266,207,28,8,9,6,G16PREDCLI,241248
6264003455,205,118,22,1,0,2,G16PREDCLI,241248
6260303203,280,361,33,6,5,2,G16PREDCLI,241248
6260303201,136,175,15,0,1,1,G16PREDCLI,241248
6260303128,187,148,19,6,2,7,G16PREDCLI,241248
1260303125,260,136,47,9,1,2,G16PREDCLI,241248
6260303162,358,226,47,16,15,13,G16PREDCLI,241248
6260303143,287,252,46,16,4,8,G16PREDCLI,241248
6273703276,108,110,9,6,2,2,G16PREDCLI,241248
6273703262,575,434,55,9,16,15,G16PREDCLI,241248
6260303126,270,175,50,8,3,6,G16PREDCLI,241248
6273703279,437,392,43,5,12,6,G16PREDCLI,241248
6273703263,410,383,45,3,13,8,G16PREDCLI,241248
6260303161,312,251,40,11,3,8,G16PREDCLI,241248
6273703280,488,417,45,7,9,14,G16PREDCLI,241248
6273703278,193,190,33,5,7,1,G16PREDCLI,241248
6260303249,413,291,36,3,8,3,G16PREDCLI,241248
6260303202,142,153,8,1,3,3,G16PREDCLI,241248
6263803163,358,268,27,11,11,10,G16PREDCLI,241248
6263803145,236,263,34,19,10,3,G16PREDCLI,241248
6273703322,506,416,44,11,9,7,G16PREDCLI,241248
6273703281,480,410,52,11,13,7,G16PREDCLI,241248
6263803154,457,301,68,22,21,12,G16PREDCLI,241248
6273703333,264,277,50,5,7,2,G16PREDCLI,241248
6273803164,305,305,32,11,13,9,G16PREDCLI,241248
6263803160,362,299,51,21,18,9,G16PREDCLI,241248
6263803159,306,234,37,12,5,11,G16PREDCLI,241248
6263803158,377,329,57,11,9,8,G16PREDCLI,241248
6263803150,439,501,57,16,35,6,G16PREDCLI,241248
6273703261,557,522,42,12,17,15,G16PREDCLI,241248
6270303245,284,142,22,4,0,0,G16PREDCLI,241248
6273703228,301,261,33,9,5,6,G16PREDCLI,241248
6273703227,329,239,27,12,7,0,G16PREDCLI,241248
6273803209,452,378,55,4,4,6,G16PREDCLI,241248
6273803205,299,235,38,5,10,1,G16PREDCLI,241248
6273803208,467,439,65,16,18,6,G16PREDCLI,241248
6273803206,346,295,61,9,10,9,G16PREDCLI,241248
6273803181,260,258,39,8,5,6,G16PREDCLI,241248
6273803180,332,308,43,14,4,3,G16PREDCLI,241248
6273703244,394,361,42,8,5,6,G16PREDCLI,241248
6270303248,318,188,29,5,5,4,G16PREDCLI,241248
6260303234,169,111,17,6,2,0,G16PREDCLI,241248
6273803210,640,562,67,14,12,11,G16PREDCLI,241248
6273703325,469,881,75,6,22,8,G16PREDCLI,241248
6263803166,207,155,25,1,3,2,G16PREDCLI,241248
6273703233,362,209,44,15,6,10,G16PREDCLI,241248
6273703226,356,201,31,6,7,8,G16PREDCLI,241248
6273703225,452,339,39,5,7,6,G16PREDCLI,241248
6273803207,497,380,47,18,10,13,G16PREDCLI,241248
6263803165,422,387,50,11,19,14,G16PREDCLI,241248
6273803179,271,263,44,8,7,4,G16PREDCLI,241248
6263803155,493,493,46,11,21,9,G16PREDCLI,241248
6273803182,406,335,47,12,11,9,G16PREDCLI,241248
6263803157,313,225,27,13,12,3,G16PREDCLI,241248
6263803167,372,333,39,9,14,4,G16PREDCLI,241248
6273703324,180,302,26,4,9,0,G16PREDCLI,241248
6263803168,419,365,40,5,12,5,G16PREDCLI,241248
6273703236,283,229,36,15,11,3,G16PREDCLI,241248
6273703235,307,234,40,13,8,8,G16PREDCLI,241248
6273703224,404,298,36,13,6,8,G16PREDCLI,241248
6273803197,325,243,24,3,9,5,G16PREDCLI,241248
6273703223,382,362,38,7,5,4,G16PREDCLI,241248
6273803211,314,346,56,11,8,8,G16PREDCLI,241248
6273803212,507,457,58,16,28,7,G16PREDCLI,241248
6273803183,526,469,64,18,13,11,G16PREDCLI,241248
6273803196,300,214,24,2,4,3,G16PREDCLI,241248
6273803178,313,273,46,11,9,14,G16PREDCLI,241248
6263803156,201,190,26,4,9,4,G16PREDCLI,241248
6273803194,490,426,67,10,13,8,G16PREDCLI,241248
6263803169,434,399,43,7,26,10,G16PREDCLI,241248
6273703222,388,354,38,5,21,4,G16PREDCLI,241248
6273703221,312,354,35,3,12,7,G16PREDCLI,241248
6273803185,367,323,43,9,21,15,G16PREDCLI,241248
6273803195,484,371,41,6,10,4,G16PREDCLI,241248
6273803184,254,330,30,7,14,4,G16PREDCLI,241248
6273803177,340,406,41,6,21,5,G16PREDCLI,241248
6273803214,341,341,43,3,12,3,G16PREDCLI,241248
6273703238,349,292,44,5,19,8,G16PREDCLI,241248
6273803213,388,390,68,9,12,7,G16PREDCLI,241248
6273703237,521,424,43,7,7,9,G16PREDCLI,241248
6273703220,424,311,45,2,11,4,G16PREDCLI,241248
6273803219,459,452,62,9,26,0,G16PREDCLI,241248
6263803171,331,293,39,6,21,2,G16PREDCLI,241248
6273803216,367,399,29,6,16,3,G16PREDCLI,241248
6273803187,371,353,48,6,13,6,G16PREDCLI,241248
6273803193,377,316,30,6,8,14,G16PREDCLI,241248
6273803192,369,479,37,7,14,8,G16PREDCLI,241248
6273803186,394,362,50,9,17,11,G16PREDCLI,241248
6263803172,290,334,55,4,12,2,G16PREDCLI,241248
6263803174,447,349,45,3,21,6,G16PREDCLI,241248
6273703332,360,403,66,17,9,9,G16PREDCLI,241248
6273703339,492,426,60,11,27,8,G16PREDCLI,241248
6273703338,389,304,54,13,14,8,G16PREDCLI,241248
