resultspre,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREIPIE,G20PREIWES,G20PREIMCH,G20PREILAR,G20PREOWRI,Winner,Winner Votes
SLC019,276,1107,39,8,1,1,11,2,3,6,G20PRERTRU,218423
SLC020,203,853,14,3,1,0,4,1,1,19,G20PRERTRU,218423
SLC021,107,519,12,11,1,0,2,1,2,7,G20PRERTRU,218423
SLC023,168,696,20,9,0,0,2,0,3,6,G20PRERTRU,218423
SLC025,296,706,22,6,0,0,0,0,1,14,G20PRERTRU,218423
SLC026,143,666,6,2,0,2,4,0,0,12,G20PRERTRU,218423
SLC027,108,597,7,1,0,0,2,1,1,5,G20PRERTRU,218423
SLC028,31,117,0,0,0,0,0,0,0,4,G20PRERTRU,218423
SLC029,102,591,2,4,2,1,2,1,2,17,G20PRERTRU,218423
SLC030,85,630,8,3,0,1,1,0,1,8,G20PRERTRU,218423
SLC031,72,551,8,2,1,0,3,1,3,5,G20PRERTRU,218423
SLC032,190,735,16,5,2,0,3,1,4,16,G20PRERTRU,218423
SLC033,96,645,8,4,2,0,2,0,2,7,G20PRERTRU,218423
SLC034,69,576,9,9,0,1,1,0,1,6,G20PRERTRU,218423
